id,name,hand,weapon,head,eyes,body,hair
27,Saru#27,Space Gloves,Elemental Shotgun,Galea,Night Vision,Karuta,Blue
28,Saru#28,Rhythm Gloves,Katana,Kasa,Invisible Shade,Tactical Body Armor,Charcoal
29,Saru#29,Tactical Gloves,Order Keeper,Heaume,Holy Lenses,Hunter Armor,Seafoam
30,Saru#30,Protective Gloves,Elemental Saber,Invisible Hat,Invisible Shade,Ranger Gears,Metal
31,Saru#31,Power Gloves,Elemental Shotgun,Demon Skull,Power Sensors,Lorica Lamminata,Metal
32,Saru#32,Hunter Gloves,Dao,Invisible Hat,Invisible Shade,Protective Uniform,Metal
33,Saru#33,Yukake,Order Keeper,Kasa,Fear Sensors,Mini Reactor Armor,Ocean
34,Saru#34,Space Gloves,Dao,Invisible Hat,Karma Sensor,Tactical Body Armor,Sapphire
35,Saru#35,Rhythm Gloves,Order Keeper,Heaume,Power Sensors,Karuta,Blue
36,Saru#36,Yukake,Jarnbjorn,Invisible Hat,Invisible Shade,Protective Uniform,Seafoam
37,Saru#37,Yukake,Elemental Saber,Tactical Helmet,Bloodshot,Hunter Armor,Metal
38,Saru#38,Protective Gloves,Order Keeper,Heaume,Invisible Shade,Mini Reactor Armor,Metal
39,Saru#39,Dragon Claws,Dao,Space Helmet,Ore Detector,Speakers Suit,Charcoal
40,Saru#40,Yukake,Dragon Lance,Invisible Hat,Sand Google,Space Suit,Indigo
41,Saru#41,Hunter Gloves,Elemental Shotgun,Invisible Hat,Fear Sensors,Speakers Suit,Metal
42,Saru#42,Tactical Gloves,Order Keeper,Space Helmet,Power Sensors,Protective Uniform,Metal
43,Saru#43,Protective Gloves,Elemental Saber,Invisible Hat,Invisible Shade,Space Suit,Indigo
44,Saru#44,Yukake,Elemental Saber,Soft Hat,Invisible Shade,Protective Uniform,Metal
45,Saru#45,Ranger Gloves,Dragon Lance,Invisible Hat,Fear Sensors,Ranger Gears,Magenta
46,Saru#46,Ranger Gloves,Jarnbjorn,Kasa,Bloodshot,Vestment,Magenta
47,Saru#47,Yukake,Order Keeper,Demon Skull,Eye Patch,Protective Uniform,Sapphire
48,Saru#48,Hunter Gloves,Order Keeper,Stetson,Invisible Shade,Protective Uniform,Seafoam
49,Saru#49,Hunter Gloves,Fighting Wrench,Invisible Hat,Invisible Shade,Karuta,Metal
50,Saru#50,Space Gloves,Elemental Gun,Galea,DJ Smart Glass,Hunter Armor,Sapphire
51,Saru#51,Protective Gloves,Dao,Kasa,Karma Sensor,Ranger Gears,Metal
52,Saru#52,Hunter Gloves,Jarnbjorn,Soft Hat,Sand Google,Lorica Lamminata,Ocean
53,Saru#53,Holy Hands,Order Keeper,Kasa,Holy Lenses,Protective Uniform,Blue
54,Saru#54,Rhythm Gloves,Order Keeper,Space Helmet,Power Sensors,Ranger Gears,Blue
55,Saru#55,Space Gloves,Elemental Shotgun,Space Helmet,Invisible Shade,Lorica Lamminata,Magenta
56,Saru#56,Hunter Gloves,Dao,Invisible Hat,Holy Lenses,Karuta,Seafoam
57,Saru#57,Tactical Gloves,Elemental Gun,Invisible Hat,Threat Sensor,Speakers Suit,Blue
58,Saru#58,Hunter Gloves,Dao,Space Helmet,Invisible Shade,Protective Uniform,Metal
59,Saru#59,Yukake,Elemental Saber,Punk Helmet,Holy Lenses,Karuta,Blue
60,Saru#60,Yukake,Order Keeper,Soft Hat,Power Sensors,Lorica Lamminata,Metal
61,Saru#61,Protective Gloves,Dao,Space Helmet,Fear Sensors,Protective Uniform,Tangerine
62,Saru#62,Ranger Gloves,Dao,Space Helmet,Karma Sensor,Hunter Armor,Ocean
63,Saru#63,Hunter Gloves,Elemental Saber,Space Helmet,Karma Sensor,Hunter Armor,Seafoam
64,Saru#64,Protective Gloves,Fighting Wrench,Space Helmet,Holy Lenses,Speakers Suit,Blue
65,Saru#65,Yukake,Elemental Gun,Heaume,Invisible Shade,Ranger Gears,Seafoam
66,Saru#66,Space Gloves,Fighting Wrench,Space Helmet,Ore Detector,Karuta,Ocean
67,Saru#67,Space Gloves,Jarnbjorn,Kabuto,Night Vision,Mini Reactor Armor,Metal
68,Saru#68,Ranger Gloves,Jarnbjorn,Invisible Hat,Night Vision,Tactical Body Armor,Metal
69,Saru#69,Hunter Gloves,Fighting Wrench,Invisible Hat,Eye Patch,Mini Reactor Armor,Tangerine
70,Saru#70,Ranger Gloves,Elemental Saber,Soft Hat,Tatical Vision,Space Suit,Metal
71,Saru#71,Hunter Gloves,Fighting Wrench,Kasa,Bloodshot,Hunter Armor,Charcoal
72,Saru#72,Tactical Gloves,Jarnbjorn,Invisible Hat,DJ Smart Glass,Ranger Gears,Gold
73,Saru#73,Tactical Gloves,Katana,Tactical Helmet,Threat Sensor,Speakers Suit,Ocean
74,Saru#74,Space Gloves,Elemental Gun,Invisible Hat,Fear Sensors,Protective Uniform,Ocean
75,Saru#75,Hunter Gloves,Order Keeper,Invisible Hat,Night Vision,Ranger Gears,Metal
76,Saru#76,Yukake,Jarnbjorn,Soft Hat,Tatical Vision,Mini Reactor Armor,Tangerine
77,Saru#77,Tactical Gloves,Order Keeper,Punk Helmet,Threat Sensor,Karuta,Indigo
78,Saru#78,Protective Gloves,Dragon Lance,Invisible Hat,Invisible Shade,Tactical Body Armor,Sapphire
79,Saru#79,Yukake,Elemental Shotgun,Invisible Hat,Threat Sensor,Speakers Suit,Ocean
80,Saru#80,Power Gloves,Elemental Gun,Invisible Hat,Bloodshot,Protective Uniform,Metal
81,Saru#81,Rhythm Gloves,Jarnbjorn,Invisible Hat,Tatical Vision,Tactical Body Armor,Charcoal
82,Saru#82,Hunter Gloves,Peacemaker,Invisible Hat,Holy Lenses,Mini Reactor Armor,Ocean
83,Saru#83,Protective Gloves,Dragon Lance,Heaume,DJ Smart Glass,Protective Uniform,Metal
84,Saru#84,Hunter Gloves,Order Keeper,Invisible Hat,Invisible Shade,Lorica Lamminata,Indigo
85,Saru#85,Tactical Gloves,Elemental Saber,Invisible Hat,Tatical Vision,Protective Uniform,Indigo
86,Saru#86,Power Gloves,Order Keeper,Invisible Hat,Threat Sensor,Tactical Body Armor,Seafoam
87,Saru#87,Hunter Gloves,Fighting Wrench,Space Helmet,Invisible Shade,Protective Uniform,Seafoam
88,Saru#88,Protective Gloves,Katana,Invisible Hat,Karma Sensor,Karuta,Metal
89,Saru#89,Space Gloves,Elemental Gun,Space Helmet,Tatical Vision,Ranger Gears,Metal
90,Saru#90,Ranger Gloves,Fighting Wrench,Space Helmet,Invisible Shade,Hunter Armor,Metal
91,Saru#91,Yukake,Elemental Shotgun,Kasa,Karma Sensor,Lorica Lamminata,Blue
92,Saru#92,Yukake,Order Keeper,Space Helmet,Bloodshot,Lorica Lamminata,Crimson
93,Saru#93,Space Gloves,Fighting Wrench,Space Helmet,Ore Detector,Speakers Suit,Blue
94,Saru#94,Protective Gloves,Elemental Shotgun,Invisible Hat,Invisible Shade,Speakers Suit,Tangerine
95,Saru#95,Holy Hands,Elemental Gun,Invisible Hat,Threat Sensor,Lorica Lamminata,Blue
96,Saru#96,Quick Hand,Elemental Saber,Invisible Hat,Tatical Vision,Protective Uniform,Indigo
97,Saru#97,Space Gloves,Elemental Shotgun,Stetson,Karma Sensor,Ranger Gears,Metal
98,Saru#98,Protective Gloves,Dao,Invisible Hat,Threat Sensor,Hunter Armor,Charcoal
99,Saru#99,Protective Gloves,Jarnbjorn,Space Helmet,Invisible Shade,Karuta,Sapphire
100,Saru#100,Hunter Gloves,Fighting Wrench,Punk Helmet,Tatical Vision,Karuta,Metal
101,Saru#101,Ranger Gloves,Dao,Kasa,Fear Sensors,Lorica Lamminata,Metal
102,Saru#102,Rhythm Gloves,Order Keeper,Stetson,Tatical Vision,Hunter Armor,Tangerine
103,Saru#103,Rhythm Gloves,Peacemaker,Invisible Hat,Fear Sensors,Tactical Body Armor,Indigo
104,Saru#104,Yukake,Fighting Wrench,Space Helmet,Fear Sensors,Space Suit,Tangerine
105,Saru#105,Ranger Gloves,Jarnbjorn,Galea,Invisible Shade,Mini Reactor Armor,Blue
106,Saru#106,Protective Gloves,Jarnbjorn,Kasa,Tatical Vision,Hunter Armor,Ocean
107,Saru#107,Ranger Gloves,Elemental Saber,Space Helmet,Power Sensors,Protective Uniform,Magenta
108,Saru#108,Power Gloves,Elemental Saber,Invisible Hat,Power Sensors,Ranger Gears,Magenta
109,Saru#109,Tactical Gloves,Jarnbjorn,Galea,Karma Sensor,Ranger Gears,Seafoam
110,Saru#110,Ranger Gloves,Elemental Gun,Invisible Hat,Invisible Shade,Speakers Suit,Blue
111,Saru#111,Space Gloves,Elemental Gun,Space Helmet,DJ Smart Glass,Hunter Armor,Indigo
112,Saru#112,Hunter Gloves,Elemental Shotgun,Invisible Hat,Ore Detector,Mini Reactor Armor,Sapphire
113,Saru#113,Rhythm Gloves,Lotus Seed,Space Helmet,Bloodshot,Hunter Armor,Metal
114,Saru#114,Tactical Gloves,Dao,Demon Skull,Karma Sensor,Protective Uniform,Indigo
115,Saru#115,Ranger Gloves,Elemental Shotgun,Tactical Helmet,Invisible Shade,Mini Reactor Armor,Metal
116,Saru#116,Ranger Gloves,Order Keeper,Kasa,Fear Sensors,Karuta,Sapphire
117,Saru#117,Rhythm Gloves,Order Keeper,Invisible Hat,Threat Sensor,Protective Uniform,Metal
118,Saru#118,Protective Gloves,Fighting Wrench,Invisible Hat,Threat Sensor,Speakers Suit,Seafoam
119,Saru#119,Dragon Claws,Elemental Gun,Invisible Hat,Karma Sensor,Space Suit,Metal
120,Saru#120,Protective Gloves,Order Keeper,Invisible Hat,Tatical Vision,Tactical Body Armor,Indigo
121,Saru#121,Protective Gloves,Elemental Gun,Punk Helmet,Tatical Vision,Speakers Suit,Seafoam
122,Saru#122,Space Gloves,Dragon Lance,Invisible Hat,Sand Google,Karuta,Sapphire
123,Saru#123,Rhythm Gloves,Fighting Wrench,Invisible Hat,Night Vision,Space Suit,Tangerine
124,Saru#124,Tactical Gloves,Elemental Gun,Gas Mask,Invisible Shade,Space Suit,Tangerine
125,Saru#125,Hunter Gloves,Jarnbjorn,Kasa,Ore Detector,Space Suit,Magenta
126,Saru#126,Hunter Gloves,Elemental Saber,Invisible Hat,Bloodshot,Vegeterian,Ocean
127,Saru#127,Rhythm Gloves,Order Keeper,Invisible Hat,Holy Lenses,Mini Reactor Armor,Metal
128,Saru#128,Protective Gloves,Fighting Wrench,Galea,Invisible Shade,Space Suit,Tangerine
129,Saru#129,Hunter Gloves,Katana,Space Helmet,Fear Sensors,Mini Reactor Armor,Tangerine
130,Saru#130,Dragon Claws,Jarnbjorn,Invisible Hat,Fear Sensors,Space Suit,Metal
131,Saru#131,Hunter Gloves,Order Keeper,Space Helmet,Invisible Shade,Hunter Armor,Tangerine
132,Saru#132,Rhythm Gloves,Order Keeper,Invisible Hat,Tatical Vision,Tactical Body Armor,Blue
133,Saru#133,Power Gloves,Dao,Kasa,DJ Smart Glass,Speakers Suit,Metal
134,Saru#134,Space Gloves,Order Keeper,Heaume,Holy Lenses,Tactical Body Armor,Metal
135,Saru#135,Rhythm Gloves,Order Keeper,Heaume,Bloodshot,Karuta,Metal
136,Saru#136,Protective Gloves,Elemental Saber,Invisible Hat,Holy Lenses,Hunter Armor,Metal
137,Saru#137,Rhythm Gloves,Elemental Gun,Demon Skull,Invisible Shade,Space Suit,Blue
138,Saru#138,Dragon Claws,Jarnbjorn,Kasa,Fear Sensors,Ranger Gears,Crimson
139,Saru#139,Yukake,Jarnbjorn,Invisible Hat,Fear Sensors,Space Suit,Metal
140,Saru#140,Protective Gloves,Dragon Lance,Space Helmet,Sand Google,Karuta,Seafoam
141,Saru#141,Space Gloves,Katana,Kasa,Karma Sensor,Ranger Gears,Tangerine
142,Saru#142,Rhythm Gloves,Dao,Space Helmet,Tatical Vision,Tactical Body Armor,Indigo
143,Saru#143,Protective Gloves,Elemental Gun,Space Helmet,Threat Sensor,Space Suit,Ocean
144,Saru#144,Rhythm Gloves,Lotus Seed,Galea,DJ Smart Glass,Ranger Gears,Charcoal
145,Saru#145,Ranger Gloves,Elemental Shotgun,Heaume,Holy Lenses,Hunter Armor,Metal
146,Saru#146,Space Gloves,Order Keeper,Kasa,Threat Sensor,Mini Reactor Armor,Sapphire
147,Saru#147,Ranger Gloves,Fighting Wrench,Space Helmet,Night Vision,Speakers Suit,Magenta
148,Saru#148,Protective Gloves,Jarnbjorn,Space Helmet,Sand Google,Karuta,Metal
149,Saru#149,Ranger Gloves,Katana,Heaume,Bloodshot,Tactical Body Armor,Crimson
150,Saru#150,Yukake,Katana,Demon Skull,Night Vision,Space Suit,Seafoam
151,Saru#151,Yukake,Order Keeper,Invisible Hat,Invisible Shade,Mini Reactor Armor,Sapphire
152,Saru#152,Space Gloves,Lotus Seed,Invisible Hat,Fear Sensors,Ranger Gears,Metal
153,Saru#153,Rhythm Gloves,Katana,Kasa,Bloodshot,Protective Uniform,Metal
154,Saru#154,Dragon Claws,Piano Sword,Invisible Hat,Threat Sensor,Karuta,Seafoam
155,Saru#155,Tactical Gloves,Jarnbjorn,Galea,Threat Sensor,Space Suit,Tangerine
156,Saru#156,Protective Gloves,Katana,Invisible Hat,Tatical Vision,Ranger Gears,Tangerine
157,Saru#157,Space Gloves,Jarnbjorn,Invisible Hat,Tatical Vision,Speakers Suit,Metal
158,Saru#158,Yukake,Order Keeper,Invisible Hat,Bloodshot,Protective Uniform,Indigo
159,Saru#159,Protective Gloves,Jarnbjorn,Invisible Hat,Night Vision,Speakers Suit,Blue
160,Saru#160,Power Gloves,Elemental Gun,Invisible Hat,Sand Google,Protective Uniform,Metal
161,Saru#161,Space Gloves,Elemental Saber,Invisible Hat,Threat Sensor,Protective Uniform,Metal
162,Saru#162,Hunter Gloves,Elemental Gun,Space Helmet,Tatical Vision,Lorica Lamminata,Sapphire
163,Saru#163,Protective Gloves,Fighting Wrench,Invisible Hat,Invisible Shade,Space Suit,Metal
164,Saru#164,Rhythm Gloves,Jarnbjorn,Invisible Hat,Karma Sensor,Tactical Body Armor,Indigo
165,Saru#165,Holy Hands,Order Keeper,Space Helmet,Threat Sensor,Lorica Lamminata,Ocean
166,Saru#166,Ranger Gloves,Elemental Shotgun,Kasa,Bloodshot,Tactical Body Armor,Seafoam
167,Saru#167,Space Gloves,Fighting Wrench,Heaume,Invisible Shade,Karuta,Metal
168,Saru#168,Hunter Gloves,Dragon Lance,Soft Hat,Bloodshot,Mini Reactor Armor,Charcoal
169,Saru#169,Yukake,Elemental Shotgun,Kasa,Threat Sensor,Space Suit,Metal
170,Saru#170,Rhythm Gloves,Elemental Shotgun,Kasa,Power Sensors,Vestment,Metal
171,Saru#171,Yukake,Elemental Gun,Galea,Karma Sensor,Vestment,Metal
172,Saru#172,Hunter Gloves,Dao,Invisible Hat,Threat Sensor,Space Suit,Indigo
173,Saru#173,Protective Gloves,Jarnbjorn,Invisible Hat,Holy Lenses,Protective Uniform,Blue
174,Saru#174,Space Gloves,Elemental Gun,Kasa,Invisible Shade,Ranger Gears,Metal
175,Saru#175,Ranger Gloves,Jarnbjorn,Invisible Hat,Invisible Shade,Protective Uniform,Indigo
176,Saru#176,Rhythm Gloves,Jarnbjorn,Punk Helmet,Bloodshot,Mini Reactor Armor,Sapphire
177,Saru#177,Hunter Gloves,Fighting Wrench,Invisible Hat,DJ Smart Glass,Hunter Armor,Ocean
178,Saru#178,Protective Gloves,Dragon Lance,Heaume,Night Vision,Lorica Lamminata,Metal
179,Saru#179,Hunter Gloves,Elemental Saber,Invisible Hat,Night Vision,Karuta,Metal
180,Saru#180,Hunter Gloves,Fighting Wrench,Gas Mask,DJ Smart Glass,Karuta,Blue
181,Saru#181,Hunter Gloves,Jarnbjorn,Invisible Hat,Tatical Vision,Mini Reactor Armor,Ocean
182,Saru#182,Power Gloves,Elemental Shotgun,Demon Skull,DJ Smart Glass,Protective Uniform,Metal
183,Saru#183,Ranger Gloves,Elemental Shotgun,Heaume,Tatical Vision,Hunter Armor,Charcoal
184,Saru#184,Yukake,Jarnbjorn,Space Helmet,Invisible Shade,Speakers Suit,Tangerine
185,Saru#185,Protective Gloves,Order Keeper,Heaume,DJ Smart Glass,Ranger Gears,Charcoal
186,Saru#186,Yukake,Elemental Saber,Invisible Hat,Invisible Shade,Tactical Body Armor,Metal
187,Saru#187,Protective Gloves,Elemental Gun,Space Helmet,Invisible Shade,Dragon Suit,Tangerine
188,Saru#188,Hunter Gloves,Fighting Wrench,Invisible Hat,Holy Lenses,Speakers Suit,Metal
189,Saru#189,Space Gloves,Elemental Saber,Punk Helmet,DJ Smart Glass,Speakers Suit,Metal
190,Saru#190,Tactical Gloves,Jarnbjorn,Space Helmet,Ore Detector,Karuta,Blue
191,Saru#191,Tactical Gloves,Jarnbjorn,Punk Helmet,Tatical Vision,Karuta,Metal
192,Saru#192,Ranger Gloves,Jarnbjorn,Invisible Hat,Karma Sensor,Tactical Body Armor,Blue
193,Saru#193,Rhythm Gloves,Elemental Shotgun,Invisible Hat,Invisible Shade,Vestment,Seafoam
194,Saru#194,Protective Gloves,Fighting Wrench,Invisible Hat,Sand Google,Space Suit,Metal
195,Saru#195,Power Gloves,Jarnbjorn,Heaume,Bloodshot,Speakers Suit,Charcoal
196,Saru#196,Ranger Gloves,Elemental Gun,Kasa,Tatical Vision,Mini Reactor Armor,Sapphire
197,Saru#197,Tactical Gloves,Dao,Tactical Helmet,Invisible Shade,Protective Uniform,Magenta
198,Saru#198,Hunter Gloves,Lotus Seed,Invisible Hat,Sand Google,Dragon Suit,Sapphire
199,Saru#199,Rhythm Gloves,Fighting Wrench,Invisible Hat,Invisible Shade,Lorica Lamminata,Ocean
200,Saru#200,Tactical Gloves,Dao,Kasa,Ore Detector,Protective Uniform,Ocean
201,Saru#201,Protective Gloves,Elemental Shotgun,Invisible Hat,Invisible Shade,Protective Uniform,Sapphire
202,Saru#202,Holy Hands,Elemental Gun,Demon Skull,Tatical Vision,Speakers Suit,Metal
203,Saru#203,Tactical Gloves,Elemental Saber,Invisible Hat,Power Sensors,Space Suit,Crimson
204,Saru#204,Rhythm Gloves,Dao,Invisible Hat,Karma Sensor,Mini Reactor Armor,Ocean
205,Saru#205,Ranger Gloves,Dao,Heaume,Night Vision,Vegeterian,Magenta
206,Saru#206,Protective Gloves,Order Keeper,Heaume,Ore Detector,Tactical Body Armor,Ocean
207,Saru#207,Space Gloves,Fighting Wrench,Demon Skull,Threat Sensor,Ranger Gears,Metal
208,Saru#208,Rhythm Gloves,Jarnbjorn,Kabuto,Threat Sensor,Protective Uniform,Tangerine
209,Saru#209,Protective Gloves,Order Keeper,Invisible Hat,Sand Google,Lorica Lamminata,Seafoam
210,Saru#210,Yukake,Elemental Gun,Kabuto,Holy Lenses,Speakers Suit,Metal
211,Saru#211,Space Gloves,Fighting Wrench,Invisible Hat,Threat Sensor,Speakers Suit,Seafoam
212,Saru#212,Space Gloves,Elemental Shotgun,Invisible Hat,Invisible Shade,Lorica Lamminata,Charcoal
213,Saru#213,Tactical Gloves,Fighting Wrench,Invisible Hat,DJ Smart Glass,Tactical Body Armor,Tangerine
214,Saru#214,Hunter Gloves,Lotus Seed,Tactical Helmet,Fear Sensors,Speakers Suit,Indigo
215,Saru#215,Hunter Gloves,Elemental Shotgun,Kasa,Threat Sensor,Space Suit,Metal
216,Saru#216,Yukake,Elemental Shotgun,Demon Skull,Holy Lenses,Speakers Suit,Magenta
217,Saru#217,Hunter Gloves,Elemental Shotgun,Invisible Hat,Night Vision,Karuta,Ocean
218,Saru#218,Hunter Gloves,Elemental Shotgun,Soft Hat,Night Vision,Space Suit,Metal
219,Saru#219,Hunter Gloves,Dao,Kasa,Invisible Shade,Hunter Armor,Seafoam
220,Saru#220,Yukake,Elemental Saber,Invisible Hat,Fear Sensors,Karuta,Blue
221,Saru#221,Hunter Gloves,Jarnbjorn,Invisible Hat,Night Vision,Protective Uniform,Metal
222,Saru#222,Dragon Claws,Order Keeper,Invisible Hat,Invisible Shade,Karuta,Sapphire
223,Saru#223,Tactical Gloves,Fighting Wrench,Demon Skull,Invisible Shade,Hunter Armor,Tangerine
224,Saru#224,Yukake,Order Keeper,Space Helmet,DJ Smart Glass,Lorica Lamminata,Indigo
225,Saru#225,Power Gloves,Elemental Saber,Invisible Hat,DJ Smart Glass,Karuta,Ocean
226,Saru#226,Hunter Gloves,Jarnbjorn,Kasa,Tatical Vision,Mini Reactor Armor,Ocean
227,Saru#227,Hunter Gloves,Elemental Gun,Space Helmet,DJ Smart Glass,Speakers Suit,Blue
228,Saru#228,Rhythm Gloves,Jarnbjorn,Kabuto,Invisible Shade,Space Suit,Metal
229,Saru#229,Protective Gloves,Dao,Invisible Hat,Invisible Shade,Mini Reactor Armor,Metal
230,Saru#230,Yukake,Order Keeper,Space Helmet,Threat Sensor,Ranger Gears,Ocean
231,Saru#231,Tactical Gloves,Elemental Saber,Kasa,Tatical Vision,Lorica Lamminata,Metal
232,Saru#232,Ranger Gloves,Order Keeper,Invisible Hat,Invisible Shade,Speakers Suit,Sapphire
233,Saru#233,Hunter Gloves,Katana,Invisible Hat,Invisible Shade,Hunter Armor,Blue
234,Saru#234,Yukake,Katana,Invisible Hat,Sand Google,Ranger Gears,Ocean
235,Saru#235,Yukake,Dao,Heaume,Sand Google,Mini Reactor Armor,Ocean
236,Saru#236,Yukake,Elemental Gun,Kasa,Fear Sensors,Hunter Armor,Metal
237,Saru#237,Power Gloves,Katana,Invisible Hat,Bloodshot,Hunter Armor,Sapphire
238,Saru#238,Rhythm Gloves,Dragon Lance,Invisible Hat,Invisible Shade,Tactical Body Armor,Seafoam
239,Saru#239,Hunter Gloves,Fighting Wrench,Punk Helmet,Holy Lenses,Speakers Suit,Metal
240,Saru#240,Ranger Gloves,Order Keeper,Invisible Hat,Holy Lenses,Ranger Gears,Metal
241,Saru#241,Yukake,Elemental Shotgun,Invisible Hat,Invisible Shade,Karuta,Ocean
242,Saru#242,Hunter Gloves,Fighting Wrench,Space Helmet,Sand Google,Space Suit,Ocean
243,Saru#243,Ranger Gloves,Jarnbjorn,Heaume,Invisible Shade,Tactical Body Armor,Ocean
244,Saru#244,Dragon Claws,Elemental Gun,Galea,Power Sensors,Karuta,Blue
245,Saru#245,Power Gloves,Lotus Seed,Space Helmet,Power Sensors,Ranger Gears,Magenta
246,Saru#246,Yukake,Fighting Wrench,Kasa,Invisible Shade,Space Suit,Sapphire
247,Saru#247,Protective Gloves,Elemental Shotgun,Invisible Hat,Power Sensors,Tactical Body Armor,Indigo
248,Saru#248,Protective Gloves,Elemental Saber,Space Helmet,Threat Sensor,Mini Reactor Armor,Metal
249,Saru#249,Space Gloves,Fighting Wrench,Invisible Hat,Power Sensors,Space Suit,Metal
250,Saru#250,Tactical Gloves,Jarnbjorn,Invisible Hat,Invisible Shade,Ranger Gears,Tangerine
251,Saru#251,Ranger Gloves,Order Keeper,Space Helmet,Invisible Shade,Tactical Body Armor,Charcoal
252,Saru#252,Yukake,Fighting Wrench,Invisible Hat,Night Vision,Hunter Armor,Metal
253,Saru#253,Tactical Gloves,Order Keeper,Invisible Hat,Eye Patch,Tactical Body Armor,Metal
254,Saru#254,Tactical Gloves,Elemental Shotgun,Heaume,Sand Google,Space Suit,Crimson
255,Saru#255,Rhythm Gloves,Katana,Stetson,Sand Google,Space Suit,Seafoam
256,Saru#256,Yukake,Elemental Gun,Heaume,Holy Lenses,Karuta,Charcoal
257,Saru#257,Holy Hands,Elemental Saber,Invisible Hat,DJ Smart Glass,Mini Reactor Armor,Metal
258,Saru#258,Rhythm Gloves,Dao,Invisible Hat,Ore Detector,Ranger Gears,Seafoam
259,Saru#259,Protective Gloves,Elemental Shotgun,Soft Hat,Fear Sensors,Ranger Gears,Metal
260,Saru#260,Ranger Gloves,Elemental Saber,Heaume,Bloodshot,Hunter Armor,Metal
261,Saru#261,Rhythm Gloves,Elemental Gun,Space Helmet,Invisible Shade,Vegeterian,Sapphire
262,Saru#262,Ranger Gloves,Elemental Shotgun,Invisible Hat,Invisible Shade,Mini Reactor Armor,Sapphire
263,Saru#263,Rhythm Gloves,Jarnbjorn,Invisible Hat,Invisible Shade,Karuta,Metal
264,Saru#264,Yukake,Elemental Gun,Invisible Hat,Tatical Vision,Space Suit,Metal
265,Saru#265,Protective Gloves,Fighting Wrench,Heaume,Power Sensors,Protective Uniform,Magenta
266,Saru#266,Holy Hands,Jarnbjorn,Invisible Hat,Invisible Shade,Speakers Suit,Metal
267,Saru#267,Yukake,Elemental Saber,Invisible Hat,Invisible Shade,Protective Uniform,Magenta
268,Saru#268,Protective Gloves,Fighting Wrench,Invisible Hat,Sand Google,Space Suit,Blue
269,Saru#269,Protective Gloves,Jarnbjorn,Kasa,Invisible Shade,Speakers Suit,Blue
270,Saru#270,Yukake,Order Keeper,Invisible Hat,Invisible Shade,Space Suit,Metal
271,Saru#271,Space Gloves,Order Keeper,Invisible Hat,DJ Smart Glass,Protective Uniform,Metal
